code,div_l,div_m,div_s,div_n,name,former_labels,labels
15792,과자,스낵,쌀스낵,쌀스낵,코리아에이치케이핫키드멈멈라이스러스크54G,619,41
15799,과자,비스킷,샌드,샌드,훼밀리인터내셔날야미바닐라향비스킷178G,625,42
15801,과자,비스킷,쿠키,쿠키,오성물산코리아듀베리딸기330G,627,43
15808,과자,캔디,토이캔디,토이캔디,보람비티안녕자두야미니자판기(노랑),629,44
15812,과자,캔디,젤리,젤리,보람비티안녕자두야골라먹는해피젤리(핑크)80G,633,45
15814,과자,기타,기타,기타,베베쿡사르르쿵딸기23G,635,46
15817,과자,캔디,젤리,젤리,마루티앤씨키딜리셔스아이젤리딸기24G,638,47
15818,과자,캔디,젤리,젤리,마루티앤씨키딜리셔스아이젤리바나나24G,639,48
15868,과자,캔디,사탕/캔디세트,하드캔디,대조에프앤비바이오모멘트유기농플랫롤리팝믹스65G,669,49
15869,과자,스낵,쌀스낵,쌀스낵,프로엠맘스케어무농약쌀로만든까까곡물과자30G,670,50
15879,과자,스낵,과일스낵,과일스낵,후디스아이말냠냠순딸기12G,674,51
15894,과자,스낵,밀가루스낵,밀가루스낵,해태흑당맛동산300G,689,52
15897,과자,비스킷,쿠키,쿠키,효성인터내셔날코코아크림다크초콜릿쿠키130G,691,53
15900,과자,스낵,쌀스낵,쌀스낵,프로엠맘스케어유기농까까곡물과자40G,694,54
15903,과자,스낵,쌀스낵,과일스낵,후디스아이밀냠냠구워만든순곡물바바나나40G,697,55
15908,과자,스낵,밀가루스낵,밀가루스낵,남양우리아이처음먹는새우얌얌40G,702,56
15911,과자,초콜렛,쉘초콜릿,쉘초콜릿,롯데폴리페놀드림카카오72_174G,705,57
15930,과자,씨리얼,씨리얼바,씨리얼바,농심켈로그에너지바K크런치넛120G,712,58
15963,과자,비스킷,쿠키,쿠키,에이스엠엔티벨비타브랙퍼스트허니_초콜릿80G,725,59
15966,과자,스낵,밀가루스낵,밀가루스낵,태광웰푸드뽀로로츄러스초코크림17.5G_12개입,728,60
15971,과자,비스킷,쿠키,쿠키,청우식품허쉬초콜릿칩모찌쿠키240G,732,61
20085,과자,비스킷,크래커,크래커,오리온고소미80G,802,62
20123,과자,비스킷,크래커,크래커,해태에이스121G,836,63
20125,과자,스낵,감자스낵,감자스낵,프링글스오리지날110G,837,64
20126,과자,스낵,감자스낵,감자스낵,농심)프링글스클래식110G,838,65
20142,과자,파이류,파이,파이,오리온)초코파이(12입)468G,846,66
20159,과자,껌류,기능성껌,기능성껌,롯데)운동할때씹는껌25G,857,67
20164,과자,스낵,감자스낵,감자스낵,해태)허니버터칩38G,861,68
20165,과자,스낵,밀가루스낵,밀가루스낵,삼양)사또밥갈릭버터맛52G,862,69
20180,과자,스낵,감자스낵,감자스낵,오리온)예감치즈그라탕2P64G,868,70
20182,과자,스낵,밀가루스낵,밀가루스낵,농심쫄병스낵안성탕면맛77G,870,71
20207,과자,비스킷,크래커,크래커,오리온)쿠쉬쿠쉬2P65.6G,887,72
20211,과자,스낵,밀가루스낵,밀가루스낵,크라운)카라멜메이플콘74G,889,73
20239,과자,스낵,감자스낵,감자스낵,Onlyprice감자칩어니언맛,905,74
20253,과자,비스킷,쿠키,쿠키,투데이허쉬코코아크림쿠키모자익,919,75
20257,과자,비스킷,샌드,샌드,오레오미니오레오바닐라향크림,921,76
20325,과자,파이류,파이,파이,롯데초코파이420G,946,77
25010,과자,비스킷,쿠키,쿠키,롯데애플쨈쿠키230G,957,78
25028,과자,비스킷,쿠키,쿠키,크라운화이트하임47G,969,79
25029,과자,비스킷,쿠키,쿠키,해태사브레252G,970,80
25034,과자,비스킷,크래커,크래커,해태에이스436G,975,81
25035,과자,비스킷,쿠키,쿠키,해태사브레315G,976,82
25041,과자,비스킷,쿠키,쿠키,크라운옹골진오곡쿠키192G,982,83
25043,과자,비스킷,크래커,쿠키,오리온다이제초코312G,984,84
25044,과자,비스킷,쿠키,파이류/파이,청우오리지널찰떡쿠키107.5G,985,85
25045,과자,비스킷,샌드,크래커,제일훼밀리키도버터향_레몬향크래커샌드위치120G,986,86
25046,과자,씨리얼,일반시리얼,일반시리얼,포스트화이버오트밀너트앤오트180G,987,87
25060,과자,스낵,쌀스낵,쌀스낵,퓨어잇떡뻥시금치쌀과자30G,1001,88
25064,과자,스낵,쌀스낵,쌀스낵,리뉴얼라이프오가닉라이스퍼프레인보우소프트바블루베리20G,1005,89
25071,과자,스낵,쌀스낵,쌀스낵,아이배냇꼬마곡물조아퐁30G,1009,90
25172,과자,비스킷,스탁과자,스탁과자,주식회사폴라리스)오레오웨이퍼룰초콜릿맛54G,1059,91
25181,과자,스낵,감자스낵,감자스낵,농심켈로그)프링글스마늘감자구이맛110G,1068,92
25231,과자,스낵,밀가루스낵,밀가루스낵,폴란드)토피넥40G,1098,93
25237,과자,스낵,쿠키,쿠키,아이배냇)꽃님친구80G,1104,94
25290,과자,스낵,쿠키,쿠키,거버바나나쿠키142G,1114,95
25380,과자,캔디,토이캔디,하드캔디,일신국제무역푸시팝그레이프_소다향15G,1147,96
25381,과자,캔디,토이캔디,하드캔디,일신국제무역트리플파워푸시팝34G,1148,97
25385,과자,캔디,토이캔디,토이캔디,리틀토이초코락2(가위바위보_주황)10G,1152,98
25387,과자,캔디,소프트캔디,소프트캔디,퍼페티후르트텔라요구르트향8G,1154,99
25388,과자,캔디,토이캔디,토이캔디,나무인터내셔널오렌지모양캔디박스25G,1155,100
25393,과자,캔디,소프트캔디,소프트캔디,농심멘토스요구르트맛바틀81G,1160,101
25395,과자,캔디,젤리,토이캔디,이농스푸드흠반점101G,1162,102
25396,과자,캔디,토이캔디,토이캔디,나무인터내셔널시크릿쥬쥬립스틱캔디40G,1163,103
25398,과자,캔디,소프르캔디,소프르캔디,농심후르트텔라요구르트향590G,1165,104
25400,과자,캔디,소프트캔디,소프트캔디,크라운제과새콤달콤딸기584G,1167,105
25407,과자,비스킷,스틱과자,스틱과자,해태구운감자162G,1172,106
25435,과자,초콜렛,쉘초콜릿,쉘초콜릿,엘라이스마태즈쇼콜라티에카카오트러플트러플앤헤이즐넛트러플150G,1196,107
25460,과자,스낵,쌀스낵,쌀스낵,한국라이스텍바삭고소오크래커현미200G,1217,108
25588,과자,비스킷,쿠키,쿠키,이마트피코크쿠키프렌즈255G,1231,109
25593,과자,비스킷,쿠키,쿠키,삼립카페메이트바닐라초코칩쿠키180G,1236,110
25595,과자,비스킷,크래커,쿠키,오리온다이제씬252G,1238,111
25597,과자,비스킷,쿠키,쿠키,오리온촉촉한초코칩320G,1239,112
25606,과자,스낵,밀가루스낵,밀가루스낵,오리온메리크리스마스초코송이36G2번들,1247,113
25622,과자,스낵,쌀스낵,쌀스낵,유기농산유기농쌀로만든단호박떡튀밥30G,1256,114
25626,과자,스낵,쌀스낵,쌀스낵,이마트피코크유기농쌀로만든오곡떡뻥40G,1259,115
25633,과자,스낵,쌀스낵,쌀스낵,태광웰푸드블랙한입크리스피170G,1266,116
25637,과자,건채소,고구마,고구마,경성반건조첫사랑군고구마65G,1269,117
25659,과자,파이류,케이크,케이크,매크로통상미니브라우니150G,1289,118
25661,과자,파이류,케이크,케이크,매크로통상미니초코칩케익150G,1291,119
25663,과자,비스킷,쿠키,쿠키,천하코퍼레이션보르그레베숏브레드비스킷200G,1293,120
25665,과자,비스킷,샌드,샌드,해태샌드에이스요거트크림204G,1295,121
25667,과자,비스킷,쿠키,쿠키,크라운속깊은맘쿠키222G,1297,122
25670,과자,파이류,케이크,케이크,이마트피코크대만파인에플케익(펑리수)120G,1300,123
25675,과자,비스킷,쿠키,쿠키,매크로통상필레블루레몬앤아몬드쿠키150G,1304,124
25714,과자,비스킷,크래커,크래커,끄레몽에프앤비듀크솔티드미니크래커150G,1333,125
25724,과자,비스킷,쿠키,쿠키,이멕스무역유에프오140G,1339,126
25778,과자,캔디,토이캔디,토이캔디,예은상사스위트도저5G,1351,127
25805,과자,비스킷,쿠키,쿠키,케이비인터내셔널몬테고초코바나나쿠키80G,1370,128
25810,과자,비스킷,샌드,크래커,원더풀에프엔비맥시클래스땅콩100G,1375,129
25823,과자,스낵,밀가루스낵,밀가루스낵,윈윈인터내셔날탱고와즐핑크크런치스트로베리맛80G,1387,130
25825,과자,비스킷,쿠키,쿠키,투데이딜라이트블루베리필드쿠키120G,1389,131
25826,과자,비스킷,크래커,크래커,명도물산쥬떼르치즈크래커138G,1390,132
25827,과자,비스킷,크래커,크래커,명도물산로마티라미수맛크래커120G,1391,133
25828,과자,비스킷,샌드,크래커,바오밥게리녹차라떼크래커110G,1392,134
25829,과자,비스킷,샌드,크래커,투데이게리코코넛초코105G,1393,135
25832,과자,비스킷,크래커,크래커,티플러스코리아올레즈초코파티100G,1396,136
25834,과자,비스킷,크래커,크래커,아띠인터내셔널말키스트크래커125G,1398,137
25836,과자,초콜렛,쉘초콜릿,쉘초콜릿,매크로통상르에트르다크플레이크트러플초콜릿175G,1400,138
25841,과자,스낵,과일스낵,과일스낵,이마트피코크배그대로18G,1405,139
25843,과자,스낵,쌀스낵,쌀스낵,매일요미요미미니팝딸기요거트25G,1407,140
25844,과자,스낵,쌀스낵,쌀스낵,매일요미요미미니팝구운옥수수25G,1408,141
25845,과자,스낵,쌀스낵,쌀스낵,매일요미요미미니팝트리플치즈25G,1409,142
25846,과자,스낵,감자스낵,감자스낵,남양우리아이처음먹는감자얌얌35G,1410,143
25847,과자,스낵,쌀스낵,쌀스낵,리뉴얼라이프쁘띠구르망쌀과자퍼프바나나20G,1411,144
25849,과자,스낵,쌀스낵,쌀스낵,리뉴얼라이프쁘띠구르망유기농쌀과자떡뻥단호박20G,1413,145
25850,과자,스낵,쌀스낵,쌀스낵,리뉴얼라이프쁘띠구르망유기농싸롸자떡뻥자색고구마20G,1414,146
25854,과자,캔디,젤리,토이젤리,투데이젖병모양젤리빈스40G,1418,147
25856,과자,초콜렛,바초콜릿,바초콜릿,매크로통상모리나가다스화이트초콜릿42G,1420,148
25857,과자,초콜렛,바초콜릿,바초콜릿,매크로통상모리나가다스비터초콜릿42G,1421,149
25858,과자,견과류,밤,밤,오성물산코리아촉촉한밤70G,1422,150
25900,과자,마른안주,어포류,어포류,선해수산델리황매운맛20G,1432,151
25902,과자,마른안주,어포류,어포류,선해수산델리황오리지널뉴20G,1434,152
25904,과자,스낵,쌀과자,쌀과자,다노)다노인절미과자30G,1436,153
25910,과자,스낵,밀가루스낵,밀가루스낵,씨제이올리브영허니버터베이글칩60G,1441,154
25913,과자,스낵,고구마스낵,고구마스낵,씨제이올리브영자색고구마베이글칩60G,1444,155
25916,과자,스낵,과일스낵,과일스낵,씨제이올리브영부드러운사과칩8G,1447,156
25928,과자,견과류,혼합견과,혼합견과,롯데쇼핑초이스엘넛츠_스낵550G,1452,157
25950,과자,마른안주,어포류,어포류,선해수산델리황오리지널뉴30G,1466,158
25951,과자,마른안주,어포류,어포류,선해수산델리황버터맛50G,1467,159
25958,과자,마른안주,어포류,어포류,선해수산황홀태75G,1472,160
30059,과자,스낵,밀가루스낵,밀가루스낵,프레첼체다치즈맛85G,1575,161
30060,과자,스낵,밀가루스낵,밀가루스낵,농심벌집핏자90G,1576,162
30062,과자,스낵,옥수수스낵,옥수수스낵,농심)에스키모밥60G,1578,163
30065,과자,스낵,밀가루스낵,밀가루스낵,크라운)꽃게랑와사비70G,1581,164
30067,과자,스낵,감자스낵,감자스낵,오리온)포카칩양파66G,1583,165
30082,과자,견과류,아몬드,아몬드,허니버터아몬드130G,1593,166
30086,과자,스낵,밀가루스낵,밀가루스낵,해태)딸기웨하스Original50G,1595,167
30092,과자,파이류,파이,파이,롯데)엄마손파이127G,1601,168
30096,과자,스낵,밀가루스낵,밀가루스낵,롯데)웨하스딸기맛50G,1605,169
30098,과자,파이류,케이크,파이,롯데)몽쉘카카오생크림케이크192G,1607,170
30099,과자,비스킷,크래커,크래커,롯데)빠다코코낫100G,1608,171
30108,과자,껌류,기능성껌,기능성껌,롯데)졸음번쩍껌87G,1617,172
30110,과자,초콜렛,쉘초콜릿,쉘초콜릿,롯데드림카카오72__86G,1619,173
30116,과자,캔디,소프트캔디,소프트캔디,크라운)마이쮸스무디바나나딸기44G,1625,174
30118,과자,초콜렛,바초콜릿,바초콜릿,롯데)가나초코바50G,1627,175
30137,과자,스낵,감자스낵,감자스낵,롯데)에어베이크드포테이토오리지날85G,1646,176
30140,과자,스낵,옥수수스낵,옥수수스낵,농심인디안밥83G,1649,177
30152,과자,초콜렛,쉘초콜릿,쉘초콜릿,토하토)크레용신찬20G,1655,178
30166,과자,스낵,옥수수스낵,옥수수스낵,롯데)치토스후라이드_양념치킨맛80G,1662,179
30191,과자,캔디,소프트캔디,소프트캔디,롯데)롤리팝아이스츄잉63G,1674,180
30221,과자,비스킷,크래커,크래커,MAYORA커피죠이,1697,181
30227,과자,초콜렛,판초콜릿,판초콜릿,롯데빅가나마일드110G,1700,182
30290,과자,껌류,일반껌,일반껌,오리온아이셔껌90G,1720,183
35026,과자,비스킷,쿠키,쿠키,크라운쿠크다스케이크사르르순크림77G,1742,184
35040,과자,비스킷,쿠키,쿠키,청우쫀득초코칩240G,1755,185
35041,과자,파이류,파이,케이크,크라운크럼블화이트384G,1756,186
35046,과자,파이류,파이,파이,오리온찰초코파이흑임자336G,1761,187
35047,과자,비스킷,샌드,샌드,동서딸기크림오레오샌드위치쿠키300G,1762,188
35050,과자,스낵,밀가루스낵,밀가루스낵,해태홈런볼티라미수146G,1765,189
35055,과자,스낵,고구마스낵,고구마스낵,쿠팡곰곰고구마말랭이80G,1770,190
35187,과자,스낵,야채스낵,야채스낵,홈플러스)HomepiusSignature리얼연근칩30g,1842,191
35275,과자,스낵,쌀과자,쌀과자,깃듬)처음먹는아이김스낵-양파맛20G,1909,192
35375,과자,초콜렛,초콜릿칩,초콜릿칩,홈플러스)홈플러스크리스미밀크초코틴스,1940,193
35376,과자,초콜렛,초콜릿칩,초콜릿칩,홈플러스)홈플러스크리스미다크초코틴스,1941,194
35384,과자,초콜렛,쉘초콜릿,쉘초콜릿,크라운)미니쉘,1949,195
35385,과자,캔디,소프트캔디,소프트캔디,광동)아폴로,1950,196
35387,과자,초콜렛,쉘초콜릿,쉘초콜릿,홈플러스)디노랜드,1952,197
35389,과자,냉장음료,냉장곡물견과음료,냉장곡물견과음료,코카)아데스아몬드오리지널_190,1954,198
35391,과자,기타,기타,기타,페레로)킨더조이파랑,1956,199
35392,과자,캔디,젤리,젤리,천하쿠퍼레이션)후르츠박스포도맛구미,1957,200
35429,과자,캔디,젤리,젤리,지바이알)대만망고맛젤리,1978,201
35520,과자,껌류,기능성껌,일반껌,기준인터내셔날)알프스스트롱껌,2007,202
35522,과자,초콜렛,쉘초콜릿,쉘초콜릿,오리온)마켓오초콜릿밀크,2009,203
35533,과자,스낵,쌀스낵,쌀스낵,바이오에프이)유기농시금치통통,2010,204
35553,과자,스낵,쌀스낵,쌀스낵,프로엠)요거팜무농약쌀로만든딸기스낵,2018,205
35554,과자,스낵,과일스낵,과일스낵,에이뷰)유기농순수딸기,2019,206
35562,과자,비스킷,쿠키,쿠키,이마트)초코칩브라우니쿠키,2025,207
35595,과자,스낵,밀가루스낵,밀가루스낵,이마트동물쿠키펭귄175G,2054,208
35596,과자,초콜렛,쉘초콜릿,쉘초콜릿,미립물산화이트컴파운드버튼150G,2055,209
35646,과자,스낵,밀가루스낵,밀가루스낵,델리팜)로아커웨하스코코아_밀크,2081,210
35647,과자,스낵,야채스낵,야채스낵,선명농수산)연근칩,2082,211
35648,과자,캔디,소프트캔디,소프트캔디,현대에프비앤비)치링치링시크릿쥬쥬유기농솜사탕,2083,212
35733,과자,과자,쌀과자,쌀과자,프로엠)맘스케어무농약쌀로만든까까,2145,213
35749,과자,비스킷,크래커,크래커,효성인터내셔날)미니크리스피크래커,2156,214
35758,과자,비스킷,쿠키,쿠키,티디에프코리아)생미쉘빨레트,2162,215
35784,과자,스낵,밀가루스낵,밀가루스낵,이멕스무역)이타리코코아와플밀크맛,2177,216
35785,과자,비스킷,쿠키,쿠키,스위트드림)달곰프란찌요거트초코쿠키,2178,217
35787,과자,초콜렛,쉘초콜릿,쉘초콜릿,젤리젤리)벨지안트러플오리지널,2180,218
35789,과자,캔디,젤리,젤리,이멕스무역)LOC사우어믹스(젤리),2182,219
35791,과자,캔디,젤리,젤리,에스에이치글로벌코리아)블록젤리(빨강색),2184,220
35798,과자,캔디,토이캔디,토이캔디,에스엔케이글로벌)유에프오스피너(합성딸기향함유)(분홍색),2190,221
35808,과자,비스킷,쿠키,쿠키,이멕스무역)디럭스넛칩쿠키,2199,222
35811,과자,파이류,케이크,케이크,효성인터내셔날)미스터브라우니블론디,2202,223
35812,과자,스낵,밀가루스낵,밀가루스낵,오성물산)니신와퍼딸기맛,2203,224
35813,과자,비스킷,샌드,크래커,에코에프엔비)몬데겐지바닐라향파이샌드비스킷,2204,225
35815,과자,캔디,소프트캔디,소프트캔디,에스씨디글로벌)마오암블락스사우어,2206,226
35819,과자,캔디,캐러멜,캐러멜,매크로통상)모리나가아즈키카라멜,2210,227
35823,과자,캔디,하드캔디,하드캔디,델리팜)참스캔디,2214,228
35830,과자,비스킷,스틱과자,스틱과자,대상인터내셔널)구멕스헤이즐넛크림위드코코아스넥,2221,229
35832,과자,껌류,일반껌,일반껌,이멕스무역)세븐팩버블껌,2222,230
35836,과자,캔디,소프트캔디,소프트캔디,구산글로벌)너즈수박향_체리향,2226,231
35837,과자,껌류,일반껌,일반껌,이멕스무역)헬로키티껌,2227,232
35876,과자,캔디,젤리,젤리,일동후디스)키요그릭요거트젤리딸기,2254,233
35925,과자,스낵,과일스낵,과일스낵,일해)보석귤,2273,234
40088,과자,스낵,옥수수스낵,옥수수스낵,오리온썬핫스파이시맛80G,2420,235
40090,과자,스낵,옥수수스낵,옥수수스낵,롯데치토스스모키바베큐맛88G,2422,236
40091,과자,스낵,옥수수스낵,옥수수스낵,꼬깔콘군옥수수맛72G,2423,237
40093,과자,캔디,하드캔디,하드캔디,알사탕90G,2425,238
40097,과자,껌류,기능성껌,기능성껌,롯데자일리톨F24G,2429,239
40105,과자,비스킷,스틱과자,스틱과자,롯데)초코빼빼로54G,2437,240
40106,과자,비스킷,스틱과자,스틱과자,롯데)아몬드빼빼로37G,2438,241
40128,과자,씨리얼,일반시리얼,일반시리얼,켈로그)스페셜K오리지널,2458,242
40129,과자,캔디,기능성캔디,기능성캔디,롯데)목캔디믹스베리38G,2459,243
40131,과자,캔디,소프트캔디,소프트캔디,이클립스스트로베리향34G,2461,244
40134,과자,캔디,소프트캔디,소프트캔디,크라운)마이쮸포도44G,2464,245
40135,과자,캔디,기능성캔디,기능성캔디,롯데)목캔디허브용기137G,2465,246
40136,과자,캔디,젤리,젤리,비타500젤리48G,2466,247
40141,과자,초콜렛,쉘초콜릿,쉘초콜릿,매일페레로로쉐T3_35G,2471,248
40142,과자,껌류,기능성껌,기능성껌,롯데ID자일리톨화이트,2472,249
40147,과자,스낵,감자스낵,감자스낵,오리온오감자양념바베큐맛50G,2477,250
40148,과자,스낵,감자스낵,감자스낵,농심수미칩어니언55G,2478,251
40152,과자,스낵,쌀스낵,쌀스낵,롯데)쌀로별김을만난라이스칩50G,2482,252
40155,과자,스낵,밀가루스낵,밀가루스낵,해태)빠새60G,2485,253
40156,과자,스낵,밀가루스낵,밀가루스낵,해태맛동산165g,2486,254
40181,과자,비스킷,크래커,크래커,크라운그레이스85G,2502,255
40194,과자,캔디,젤리,젤리,하리보골드바렌175G,2506,256
40213,과자,견과류,혼합견과,혼합견과,머거본꿀땅콩55G,2512,257
40215,과자,견과류,혼합견과,혼합견과,머거본믹스너트40G,2513,258
40246,과자,스낵,일반스낵,일반스낵,롯데씨리얼초코,2541,259
40315,과자,스낵,팝콘,팝콘,사조로하이팝콘버터맛90g,2562,260
45028,과자,캔디,하드캔디,하드캔디,롯데애니타임웨이브24.5G,2584,261
45033,과자,씨리얼,일반시리얼,일반시리얼,포스트오곡코코볼바100G,2589,262
45036,과자,파이류,파이,파이,롯데찰떡파이인절미300G,2592,263
45038,과자,비스킷,쿠키,쿠키,크라운화이트하임284G,2594,264
45041,과자,비스킷,크래커,크래커,오리온다이제_3,2596,265
45049,과자,파이류,파이,파이,크라운딸기파이,2604,266
45051,과자,스낵,밀가루스낵,밀가루스낵,삼하꼬마웨하스,2606,267
45052,과자,스낵,밀가루스낵,밀가루스낵,델리팜로아커웨하스밀크바닐라,2607,268
45111,과자,견과류,아몬드,아몬드,길림양행흑당밀크티아몬드190G,2638,269
45112,과자,견과류,땅콩,땅콩,길림양횅와사비맛땅콩190G,2639,270
45167,과자,스낵,감자스낵,감자스낵,농심켈로그)프링글스블로네제스파게티맛110G,2672,271
45219,과자,스낵,감자스낵,감자스낵,오리온)예감32G,2717,272
45220,과자,스낵,감자스낵,감자스낵,오리온)예감치즈그라탕맛32G,2718,273
45221,과자,스낵,감자스낵,감자스낵,오리온)예감볶은양파맛32G,2719,274
45222,과자,비스킷,크래커,크래커,오리온)고소미35G,2720,275
45226,과자,비스킷,쿠키,쿠키,청우식품)브루느와82.5G,2724,276
45227,과자,스낵,옥수수스낵,옥수수스낵,롯데제과)꼬깔콘고소한맛42G,2725,277
45238,과자,스낵,밀가루스낵,밀가루스낵,서주제과)서주허쉬민트훼하스미니100G,2728,278
45241,과자,스낵,밀가루스낵,밀가루스낵,서주)서주딸기웨하스63G,2730,279
45277,과자,스낵,쿠키,쿠키,홈플러스)프랑스팔미에르비스켓100G,2737,280
45280,과자,스낵,쌀스낵,쌀스낵,깃듬)처음먹는아이김스낵오리지널20G,2738,281
45455,과자,씨리얼,씨리얼바,씨리얼바,농심)첵스초코펀초코바나나바,2836,282
45505,과자,비스킷,스틱과자,스틱과자,롯데제과)빼빼로돼지바,2856,283
45506,과자,비스킷,스틱과자,스틱과자,롯데제과)빼빼로초코쿠키,2857,284
45513,과자,캔디,소프트캔디,소프트캔디,한국마즈)이클립스스트로베리향,2859,285
45514,과자,캔디,소프트캔디,소프트캔디,한국마즈)이클립스스피어민트향,2860,286
45515,과자,캔디,소프트캔디,소프트캔디,한국마즈)이클립스페퍼민트향,2861,287
45529,과자,초콜렛,쉘초콜릿,쉘초콜릿,페레로)페레로로쉐100G,2864,288
45672,과자,초콜렛,쉘초콜릿,쉘초콜릿,오성비엔에프)다크컴파운드버튼SLD-3409,2890,289
45681,과자,스낵,밀가루스낵,밀가루스낵,토하토)포켓몬스낵초콜릿향,2896,290
45745,과자,견과류,혼합견과,혼합견과,푸드존)코코파이참깨,2938,291
45761,과자,파이류,파이,파이,키즈웰)망고케이크,2954,292
45763,과자,캔디,캐러멜,소프트캔디,매크로통상)웨더스오리지날츄토피,2956,293
45765,과자,스낵,고구마스낵,고구마스낵,오성물산)촉촉한고구마,2957,294
45766,과자,스낵,고구마스낵,고구마스낵,우수에프앤비)자색고구마칩스,2958,295
45768,과자,초콜렛,쉘초콜릿,쉘초콜릿,아띠인터내셔널)라카사트러플다크초콜릿85_,2959,296
45773,과자,비스킷,크래커,크래커,아띠인터내셔널)반두아코코넛델리,2963,297
45774,과자,캔디,토이캔디,토이캔디,한투인터내셔널)LED캔디(초록색),2964,298
45781,과자,파이류,과자세트,케이크,삼경에프에스)타노시이케이크야상,2970,299
45782,과자,파이류,케이크,케이크,미성패밀리)블루베리케익,2971,300
45784,과자,캔디,사탕/캔디세트,하드캔디,보보에프엔지)바이오모멘트유기농캔디믹스,2973,301
45785,과자,캔디,사탕/캔디세트,하드캔디,보보에프엔지)바이오모멘트유기농볼롤리팝믹스,2974,302
45792,과자,스낵,밀가루스낵,밀가루스낵,서주제과)서주허쉬초코웨하스,2978,303
45798,과자,초콜렛,바초콜릿,바초콜릿,바오밥)팀탐클래식초콜릿,2983,304
45808,과자,파이류,케이크,케이크,옥산인터내셔널)치즈플레이버케이크,2993,305
45811,과자,파이류,케이크,케이크,옥산인터내셔널)바닐라플레이버케이크,2996,306
