,div_l,div_m,div_s,div_n
10057,주류,맥주,수입맥주,수입맥주
10058,주류,맥주,국내맥주,국내맥주
10059,주류,소주,증류식소주,증류식소주
10060,과자,비스킷,스틱과자,스틱과자
10061,음료,차음료,일반차음료,일반차음료
10062,음료,과채음료,과일음료,과일음료
10063,음료,차음료,일반차음료,일반차음료
10064,음료,커피음료,커피음료,커피음료
10065,음료,과채음료,과일음료,과일음료
10066,음료,커피음료,커피음료,커피음료
10067,음료,커피음료,커피음료,커피음료
10068,음료,커피음료,커피음료,커피음료
10069,음료,커피음료,커피음료,커피음료
10070,음료,과채음료,채소음료,채소음료
10071,음료,과채음료,과일음료,과일음료
10072,음료,과채음료,채소음료,채소음료
10073,음료,과채음료,과일음료,과일음료
10074,음료,과채음료,과일음료,과일음료
10075,음료,탄산음료,콜라,콜라
10076,음료,탄산음료,혼합탄산,혼합탄산
10077,음료,탄산음료,혼합탄산,혼합탄산
10078,음료,탄산음료,혼합탄산,혼합탄산
10079,음료,과채음료,과일음료,과일음료
10080,음료,탄산음료,혼합탄산,혼합탄산
10081,음료,과채음료,과일음료,과일음료
10082,음료,과채음료,채소음료,채소음료
10083,음료,과채음료,과일음료,과일음료
10084,음료,과채음료,과일음료,과일음료
10085,음료,과채음료,과일음료,과일음료
10086,음료,과채음료,과일음료,과일음료
10087,음료,과채음료,과일음료,과일음료
10088,음료,생수,일반생수,일반생수
10089,음료,과채음료,과일음료,과일음료
10090,음료,과채음료,과일음료,과일음료
10091,과자,스낵,옥수수스낵,옥수수스낵
10092,과자,스낵,밀가루스낵,밀가루스낵
10093,과자,스낵,밀가루스낵,밀가루스낵
10094,과자,스낵,옥수수스낵,옥수수스낵
10095,과자,스낵,옥수수스낵,옥수수스낵
10100,과자,껌류,기능성껌,기능성껌
10101,면류,용기면,국물용기라면,짬뽕라면
10102,면류,용기면,국물용기라면,일반라면
10103,면류,용기면,국물용기라면,일반라면
10104,면류,용기면,국물용기라면,쌀국수
10107,과자,캔디,하드캔디,하드캔디
10108,커피차,분말차,코코아/핫초코,초코맛
10109,과자,캔디,사탕/캔디세트,사탕/캔디세트
10110,과자,초콜렛,쉘초콜릿,쉘초콜릿
10111,면류,용기면,국물용기라면,일반라면
10112,과자,스낵,감자스낵,감자스낵
10113,음료,커피음료,커피음료,커피음료
10114,음료,커피음료,커피음료,커피음료
10115,주류,소주,증류식소주,증류식소주
10116,주류,소주,증류식소주,증류식소주
10117,음료,차음료,일반차음료,일반차음료
10118,음료,커피음료,커피음료,커피음료
10119,음료,차음료,일반차음료,일반차음료
10122,음료,과채음료,과일음료,과일음료
10123,음료,탄산수,플레인탄산수,플레인탄산수
10124,음료,커피음료,커피음료,커피음료
10125,음료,차음료,전통차음료,전통차음료
10126,음료,과채음료,과채혼합음료,과채혼합음료
10127,음료,탄산음료,혼합탄산,혼합탄산
10128,음료,과채음료,채소음료,채소음료
10129,음료,차음료,전통차음료,전통차음료
10130,음료,차음료,일반차음료,일반차음료
10131,음료,기능성음료,기타기능성음료,기타기능성음료
10132,음료,기능성음료,한방음료,한방음료
10133,음료,기능성음료,숙취해소음료,숙취해소음료
10134,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
10135,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
10136,음료,기능성음료,식이섬유음료,식이섬유음료
10137,음료,과채음료,과일음료,과일음료
10138,통조림/안주,통조림,보일드통조림,참치통조림
10139,통조림/안주,통조림,가미통조림,참치통조림
10140,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
10141,통조림/안주,통조림,가미통조림,참치통조림
10142,통조림/안주,통조림,가미통조림,참치통조림
10143,통조림/안주,통조림,보일드통조림,참치통조림
10144,통조림/안주,통조림,보일드통조림,닭가슴살통조림
10145,통조림/안주,통조림,과일통조림,파인애플통조림
10146,통조림/안주,통조림,보일드통조림,번데기통조림
10147,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
10148,통조림/안주,통조림,가미통조림,스팸/햄통조림
10149,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
10150,통조림/안주,통조림,보일드통조림,기타수산통조림
10152,통조림/안주,통조림,보일드통조림,번데기통조림
10153,통조림/안주,통조림,보일드통조림,참치통조림
10154,통조림/안주,통조림,보일드통조림,고등어통조림
10155,통조림/안주,통조림,보일드통조림,고등어통조림
10157,통조림/안주,통조림,보일드통조림,채소통조림
10158,통조림/안주,통조림,보일드통조림,골뱅이통조림
10159,통조림/안주,통조림,보일드통조림,골뱅이통조림
10160,통조림/안주,통조림,과일통조림,복숭아통조림
10161,통조림/안주,통조림,과일통조림,복숭아통조림
10162,통조림/안주,통조림,보일드통조림,채소통조림
10163,통조림/안주,통조림,과일통조림,복숭아통조림
10164,통조림/안주,통조림,보일드통조림,골뱅이통조림
10165,통조림/안주,통조림,보일드통조림,골뱅이통조림
10166,통조림/안주,통조림,보일드통조림,골뱅이통조림
10167,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
10168,통조림/안주,통조림,가미통조림,스팸/햄통조림
10169,통조림/안주,통조림,가미통조림,스팸/햄통조림
10170,통조림/안주,통조림,가미통조림,스팸/햄통조림
10171,통조림/안주,통조림,가미통조림,스팸/햄통조림
10172,통조림/안주,통조림,가미통조림,스팸/햄통조림
10174,과자,캔디,소프트캔디,소프트캔디
10175,과자,초콜렛,쉘초콜릿,쉘초콜릿
10176,과자,초콜렛,쉘초콜릿,쉘초콜릿
10177,과자,스낵,밀가루스낵,밀가루스낵
10178,과자,스낵,감자스낵,감자스낵
10184,상온HMR,분말조리식,분말스프,분말스프
10185,상온HMR,분말조리식,분말스프,분말스프
10187,상온HMR,분말조리식,분말카레짜장,분말카레
10188,상온HMR,분말조리식,분말카레짜장,분말카레
10199,과자,스낵,밀가루스낵,밀가루스낵
10200,커피차,분말차,전통차,한차
10201,커피차,분말차,커피,인스턴트커피
10202,상온HMR,분말조리식,분말국/찌개,분말국/찌개
10209,과자,스낵,밀가루스낵,밀가루스낵
10210,과자,스낵,감자스낵,감자스낵
10212,주류,맥주,국내맥주,국내맥주
10223,주류,맥주,국내맥주,국내맥주
10224,상온HMR,레토르트,즉석카레짜장,분말카레
10225,과자,캔디,사탕/캔디세트,사탕/캔디세트
10226,상온HMR,소스류,맛가루,기타레토르트
10227,과자,캔디,젤리,젤리
10230,주류,소주,증류식소주,증류식소주
10234,과자,캔디,토이캔디,토이캔디
10235,과자,스낵,옥수수스낵,옥수수스낵
10238,주류,소주,증류식소주,증류식소주
10239,주류,소주,증류식소주,증류식소주
10240,상온HMR,레토르트,즉석밥,즉석밥
10241,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
10242,디저트,디저트/베이커리,냉장디저트,냉장디저트
10244,상온HMR,과채음료,과일음료,과일음료
10245,상온HMR,레토르트,즉석죽,즉석죽
10246,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
10247,유제품,우유,가공우유,커피우유
10248,유제품,우유,가공우유,초코우유
10249,유제품,요구르트,마시는 요구르트,마시는 요구르트
10250,유제품,요구르트,마시는 요구르트,마시는 요구르트
10251,음료,과채음료,어린이음료,어린이음료
10252,유제품,우유,가공우유,기타우유
10253,유제품,요구르트,마시는 요구르트,마시는 요구르트
10254,유제품,요구르트,마시는 요구르트,마시는 요구르트
10255,음료,탄산음료,혼합탄산,혼합탄산
10256,유제품,요구르트,마시는 요구르트,마시는 요구르트
10257,유제품,요구르트,마시는 요구르트,마시는 요구르트
10258,과자,비스킷,쿠키,쿠키
10259,유제품,요구르트,마시는 요구르트,마시는 요구르트
10260,상온HMR,레토르트,기타레토르트,기타레토르트
10261,상온HMR,레토르트,기타레토르트,기타레토르트
10264,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
10265,과자,캔디,소프트캔디,소프트캔디
10268,디저트,퓨레,과일퓨레,과일퓨레
10305,상온HMR,소스류,국물용소스,국물용소스
10306,상온HMR,소스류,국물용소스,국물용소스
10307,주류,전통주,막걸리,막걸리
10309,주류,맥주,수입맥주,수입맥주
10310,주류,와인,레드와인,레드와인
10311,주류,맥주,수입맥주,수입맥주
10312,주류,전통주,청주,청주
10313,주류,소주,증류식소주,증류식소주
10314,주류,전통주,청주,청주
10315,주류,소주,증류식소주,증류식소주
10316,상온HMR,병통조림,참치통조림,참치통조림
10317,커피차,분말차,커피,모카
10318,커피차,분말차,기타,기능성차
10319,커피차,분말차,커피,아메리카노
10322,커피차,분말차,커피,인스턴트커피
10323,통조림/안주,통조림,보일드통조림,채소통조림
10324,통조림/안주,통조림,보일드통조림,번데기통조림
10325,통조림/안주,통조림,보일드통조림,닭가슴살통조림
10326,통조림/안주,통조림,보일드통조림,채소통조림
15001,커피차,분말차,보리차,보리차
15002,커피차,분말차,코코아/핫초코,초코맛
15003,커피차,분말차,커피,라떼
15004,커피차,분말차,기타,마차
15005,커피차,분말차,보리차,보리차
15006,커피차,분말차,전통차,쌍화차
15007,커피차,분말차,코코아/핫초코,딸기맛
15008,커피차,분말차,코코아/핫초코,초코맛
15009,커피차,분말차,커피,모카
15010,커피차,분말차,커피,모카
15011,커피차,분말차,우엉차,우엉차
15012,커피차,분말차,둥굴레차,둥굴레차
15013,커피차,분말차,과실절임차,유자차
15014,커피차,분말차,커피,아메리카노
15017,커피차,액상차,전통차,쌍화차
15018,커피차,액상차,기타,기타
15020,커피차,분말차,커피,헤이즐넛
15022,커피차,분말차,커피,원두커피
15024,커피차,분말차,커피,라떼
15026,과자,비스킷,크래커,크래커
15027,과자,파이류,파이,파이
15028,상온HMR,레토르트,즉석스프,즉석스프
15029,상온HMR,레토르트,즉석스프,즉석스프
15030,과자,비스킷,쿠키,쿠키
15031,커피차,분말차,기타,견과차
15032,과자,비스킷,샌드,샌드
15033,과자,초콜렛,쉘초콜릿,쉘초콜릿
15034,과자,파이류,파이,파이
15035,과자,파이류,파이,케이크
15036,과자,비스킷,쿠키,쿠키
15037,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
15038,통조림/안주,통조림,과일통조림,기타통조림
15039,과자,스낵,밀가루스낵,밀가루스낵
15040,면류,봉지면,국물봉지라면,일반라면
15041,면류,봉지면,국물봉지라면,일반라면
15042,면류,봉지면,비빔봉지라면,파스타
15043,과자,비스킷,스틱과자,스틱과자
15044,과자,비스킷,크래커,크래커
15045,과자,비스킷,스틱과자,스틱과자
15046,과자,비스킷,샌드,샌드
15047,과자,비스킷,샌드,샌드
15048,과자,비스킷,샌드,샌드
15049,과자,비스킷,샌드,샌드
15050,과자,비스킷,쿠키,쿠키
15051,과자,전통과자,기타전통과자,기타전통과자
15052,과자,비스킷,쿠키,쿠키
15053,면류,봉지면,비빔봉지라면,파스타
15054,면류,봉지면,비빔봉지라면,짜장라면
15055,면류,봉지면,국물봉지라면,일반라면
15056,과자,스낵,과일스낵,과일스낵
15057,과자,스낵,쌀과자,쌀과자
15059,과자,스낵,쌀과자,쌀과자
15060,과자,스낵,쌀과자,쌀과자
15061,과자,스낵,과일스낵,과일스낵
15062,상온HMR,레저취미,반려견간식,반려견간식
15064,과자,스낵,과일스낵,과일스낵
15065,통조림/안주,통조림,애견식품,애견습식사료
15067,상온HMR,레토르트,기타레토르트,기타레토르트
15068,상온HMR,레토르트,기타레토르트,기타레토르트
15069,상온HMR,레토르트,기타레토르트,기타레토르트
15071,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
15076,과자,비스킷,쿠키,크래커
15078,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15082,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
15083,면류,봉지면,국물봉지라면,일반라면
15084,면류,봉지면,국물봉지라면,일반라면
15085,상온HMR,레토르트,기타레토르트,기타레토르트
15086,통조림/안주,통조림,보일드통조림,채소통조림
15087,과자,스낵,쿠키,쿠키
15088,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15089,상온HMR,레토르트,기타레토르트,기타레토르트
15090,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15091,상온HMR,레토르트,즉석죽,즉석죽
15092,상온HMR,레토르트,즉석죽,즉석죽
15093,과자,스낵,쿠키,쿠키
15094,커피차,분말차,녹차/현미녹차,녹차/현미녹차
15097,상온HMR,가공분말류,도넛가루/핫케이크가루,도넛가루/핫케이크가루
15099,통조림/안주,안주,냉장/냉동식품,간편요리
15100,과자,견과류,호두,호두
15101,상온HMR,전통과자,기타전통과자,기타전통과자
15102,상온HMR,레토르트,즉석죽,즉석죽
15103,상온HMR,레토르트,즉석밥,즉석밥
15104,상온HMR,레토르트,기타레토르트,기타레토르트
15105,상온HMR,레토르트,기타레토르트,기타레토르트
15106,주류,맥주,수입맥주,수입맥주
15107,주류,맥주,수입맥주,수입맥주
15108,주류,전통주,과실주,과실주
15109,상온HMR,잡곡,콩,콩
15122,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15123,음료,과채음료,과일음료,과일음료
15124,음료,과채음료,과일음료,과일음료
15125,음료,과채음료,과일음료,과일음료
15126,유제품,치즈,리코타치즈,리코타치즈
15127,음료,과채음료,과일음료,과일음료
15128,유제품,버터,마가린,마가린
15129,유제품,치즈,체다치즈,체다치즈
15130,유제품,요구르트,마시는 요구르트,마시는 요구르트
15131,유제품,요구르트,마시는 요구르트,마시는 요구르트
15132,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15133,음료,과채음료,채소음료,채소음료
15134,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15137,음료,과채음료,과채혼합음료,과채혼합음료
15139,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15142,유제품,요구르트,마시는 요구르트,마시는 요구르트
15143,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15144,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15145,음료,과채음료,과채혼합음료,과채혼합음료
15146,음료,과채음료,과일음료,과일음료
15175,과자,비스킷,샌드,샌드
15176,과자,비스킷,샌드,샌드
15177,과자,스낵,야채스낵,야채스낵
15178,과자,스낵,야채스낵,야채스낵
15179,과자,스낵,야채스낵,야채스낵
15180,과자,씨리얼,일반시리얼,일반시리얼
15181,면류,봉지면,국물봉지라면,일반라면
15182,음료,커피음료,커피음료,커피음료
15183,음료,과채음료,과일음료,과일음료
15184,유제품,치즈,체다치즈,체다치즈
15185,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15186,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15187,유제품,요구르트,마시는 요구르트,마시는 요구르트
15188,유제품,요구르트,마시는 요구르트,마시는 요구르트
15189,유제품,요구르트,마시는 요구르트,마시는 요구르트
15190,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15191,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
15192,과자,스낵,옥수수스낵,옥수수스낵
15193,유제품,요구르트,마시는 요구르트,마시는 요구르트
15194,유제품,우유,가공우유,초코우유
15195,유제품,우유,일반우유,일반우유
15196,유제품,우유,가공우유,바나나우유
15197,음료,커피음료,커피음료,커피음료
15199,음료,커피음료,커피음료,커피음료
15200,음료,커피음료,커피음료,커피음료
15201,음료,커피음료,커피음료,커피음료
15203,음료,커피음료,커피음료,커피음료
15204,음료,커피음료,커피음료,커피음료
15205,음료,커피음료,커피음료,커피음료
15206,음료,커피음료,커피음료,커피음료
15207,음료,커피음료,커피음료,커피음료
15208,유제품,우유,일반우유,일반우유
15209,유제품,우유,일반우유,일반우유
15210,유제품,우유,일반우유,저지방우유
15211,유제품,우유,일반우유,일반우유
15212,유제품,우유,일반우유,저지방우유
15213,유제품,우유,일반우유,일반우유
15214,유제품,우유,일반우유,고칼슘우유
15215,유제품,우유,일반우유,일반우유
15216,유제품,우유,일반우유,일반우유
15217,유제품,요구르트,마시는 요구르트,마시는 요구르트
15218,유제품,우유,일반우유,저지방우유
15219,유제품,우유,가공우유,기타우유
15220,음료,커피음료,커피음료,커피음료
15221,음료,커피음료,커피음료,커피음료
15222,유제품,요구르트,마시는 요구르트,마시는 요구르트
15223,주류,맥주,수입맥주,수입맥주
15224,주류,맥주,수입맥주,수입맥주
15225,주류,맥주,수입맥주,수입맥주
15226,주류,맥주,무알콜맥주,무알콜맥주
15227,주류,와인,스파클링와인,스파클링와인
15228,주류,맥주,무알콜맥주,무알콜맥주
15229,주류,맥주,수입맥주,수입맥주
15230,상온HMR,식용유,해바라기씨유,해바라기씨유
15231,상온HMR,식용유,올리브유,올리브유
15241,주류,맥주,수입맥주,수입맥주
15242,주류,맥주,수입맥주,수입맥주
15243,주류,맥주,수입맥주,수입맥주
15244,주류,맥주,수입맥주,수입맥주
15245,주류,맥주,수입맥주,수입맥주
15246,주류,맥주,수입맥주,수입맥주
15247,주류,맥주,수입맥주,수입맥주
15248,주류,맥주,수입맥주,수입맥주
15249,주류,맥주,수입맥주,수입맥주
15250,주류,맥주,무알콜맥주,무알콜맥주
15251,주류,맥주,수입맥주,수입맥주
15252,주류,맥주,수입맥주,수입맥주
15253,주류,맥주,무알콜맥주,무알콜맥주
15261,상온HMR,레토르트,기타레토르트,기타레토르트
15262,상온HMR,레토르트,기타레토르트,기타레토르트
15263,상온HMR,레토르트,기타레토르트,기타레토르트
15264,상온HMR,레토르트,기타레토르트,기타레토르트
15265,상온HMR,레토르트,기타레토르트,기타레토르트
15266,상온HMR,레토르트,기타레토르트,기타레토르트
15267,상온HMR,레토르트,기타레토르트,기타레토르트
15268,상온HMR,레토르트,기타레토르트,기타레토르트
15269,상온HMR,레토르트,기타레토르트,기타레토르트
15286,상온HMR,분말조미료,가공조미료,가공조미료
15287,상온HMR,분말조미료,가공조미료,가공조미료
15288,상온HMR,레토르트,즉석죽,즉석죽
15291,상온HMR,병통조림,채소병통조림,채소병통조림
15293,통조림/안주,통조림,보일드통조림,기타축산통조림
15294,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
15295,통조림/안주,통조림,보일드통조림,기타축산통조림
15296,통조림/안주,통조림,가미통조림,옥수수/반찬통조림
15337,음료,과채음료,과일음료,과일음료
15338,음료,커피음료,커피음료,커피음료
15339,커피차,액상차,커피,아메리카노
15343,유제품,치즈,체다치즈,체다치즈
15373,커피차,분말차,커피,원두커피
15374,커피차,분말차,커피,인스턴트커피
15375,커피차,분말차,커피,인스턴트커피
15376,커피차,분말차,커피,라떼
15377,커피차,분말차,허브차,레몬밤
15378,커피차,분말차,커피,모카
15380,커피차,분말차,커피,모카
15381,커피차,분말차,커피,모카
15382,커피차,분말차,커피,아메리카노
15383,커피차,분말차,커피,모카
15384,커피차,분말차,옥수수차,옥수수차
15385,커피차,분말차,옥수수차,옥수수차
15386,커피차,분말차,밀크티,밀크티
15387,커피차,분말차,커피,모카
15392,음료,과채음료,어린이음료,어린이음료
15405,상온HMR,레토르트,기타레토르트,기타레토르트
15406,상온HMR,레토르트,기타레토르트,기타레토르트
15407,상온HMR,레토르트,기타레토르트,기타레토르트
15408,상온HMR,레토르트,기타레토르트,기타레토르트
15409,상온HMR,레토르트,즉석스프,즉석스프
15410,상온HMR,레토르트,기타레토르트,기타레토르트
15411,상온HMR,레토르트,기타레토르트,기타레토르트
15412,상온HMR,초콜렛,쉘초콜릿,쉘초콜릿
15414,과자,캔디,젤리,젤리
15415,과자,초콜렛,쉘초콜릿,쉘초콜릿
15416,과자,초콜렛,쉘초콜릿,쉘초콜릿
15417,과자,초콜렛,쉘초콜릿,쉘초콜릿
15418,과자,초콜렛,쉘초콜릿,쉘초콜릿
15419,과자,캔디,젤리,젤리
15420,과자,캔디,젤리,젤리
15421,과자,캔디,젤리,젤리
15422,과자,스낵,쌀스낵,쌀스낵
15423,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15424,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15425,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15426,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15427,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15428,상온HMR,레토르트,즉석죽,즉석죽
15429,상온HMR,레토르트,즉석밥,즉석밥
15430,상온HMR,레토르트,즉석밥,즉석밥
15431,과자,초콜렛,쉘초콜릿,쉘초콜릿
15432,과자,초콜렛,쉘초콜릿,쉘초콜릿
15433,과자,씨리얼,씨리얼바,씨리얼바
15434,과자,파이류,케이크,케이크
15435,과자,캔디,젤리,젤리
15436,과자,캔디,젤리,젤리
15438,과자,캔디,소프트캔디,소프트캔디
15439,과자,캔디,소프트캔디,소프트캔디
15441,커피차,분말차,기타,노니차
15442,커피차,분말차,기타,계피차
15443,커피차,분말차,기타,기타
15444,커피차,분말차,기타,견과차
15445,상온HMR,레토르트,즉석밥,즉석밥
15446,상온HMR,레토르트,즉석밥,즉석밥
15447,상온HMR,레토르트,즉석밥,즉석밥
15448,상온HMR,레토르트,즉석밥,즉석밥
15449,상온HMR,레토르트,즉석밥,즉석밥
15450,상온HMR,레토르트,즉석밥,즉석밥
15451,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15452,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15453,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15455,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15456,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15457,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15459,상온HMR,레토르트,즉석카레짜장,즉석카레짜장
15461,통조림/안주,통조림,과일통조림,복숭아통조림
15462,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15463,상온HMR,레토르트,즉석죽,즉석죽
15464,상온HMR,전통과자,기타전통과자,기타전통과자
15465,음료,과채음료,과일음료,과일음료
15466,음료,과채음료,과일음료,과일음료
15469,커피차,분말차,기타,기타
15470,과자,기타,기타,기타
15473,상온HMR,씨리얼,일반시리얼,일반시리얼
15474,상온HMR,전통과자,기타전통과자,기타전통과자
15475,과자,스낵,과일스낵,과일스낵
15476,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15477,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15478,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15479,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15485,과자,스낵,야채스낵,야채스낵
15486,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15487,상온HMR,레토르트,기타레토르트,기타레토르트
15542,과자,캔디,하드캔디,하드캔디
15543,과자,캔디,하드캔디,하드캔디
15617,커피차,분말차,옥수수차,옥수수차
15618,과자,스낵,쌀스낵,야채스낵
15619,과자,스낵,밀가루스낵,밀가루스낵
15620,음료,과채음료,과일음료,과일음료
15621,음료,과채음료,과일음료,과일음료
15622,과자,비스킷,샌드,샌드
15623,과자,파이류,파이,파이
15624,과자,스낵,팝콘,팝콘
15625,과자,스낵,팝콘,팝콘
15626,과자,스낵,옥수수스낵,옥수수스낵
15627,과자,스낵,과일스낵,과일스낵
15629,과자,스낵,야채스낵,야채스낵
15630,과자,껌류,일반껌,일반껌
15631,과자,껌류,기능성껌,기능성껌
15632,과자,껌류,기능성껌,기능성껌
15633,통조림/안주,안주,냉장/냉동식품,유제품
15634,주류,맥주,수입맥주,수입맥주
15635,주류,맥주,국내맥주,국내맥주
15636,주류,전통주,막걸리,막걸리
15637,주류,전통주,막걸리,막걸리
15638,주류,전통주,청주,청주
15639,주류,전통주,막걸리,막걸리
15640,주류,전통주,막걸리,막걸리
15641,주류,맥주,수입맥주,수입맥주
15642,과자,스낵,쌀스낵,쌀스낵
15643,과자,스낵,쌀스낵,쌀스낵
15644,과자,스낵,쌀스낵,쌀스낵
15645,과자,스낵,쌀스낵,쌀스낵
15646,과자,스낵,야채스낵,야채스낵
15647,상온HMR,소시지,소시지,소시지
15648,과자,스낵,쌀스낵,쌀스낵
15649,과자,스낵,쌀스낵,쌀스낵
15650,과자,스낵,고구마스낵,고구마스낵
15651,과자,스낵,야채스낵,야채스낵
15652,과자,스낵,밀가루스낵,밀가루스낵
15653,과자,스낵,밀가루스낵,밀가루스낵
15654,과자,스낵,밀가루스낵,밀가루스낵
15655,과자,스낵,과일스낵,과일스낵
15656,과자,스낵,밀가루스낵,밀가루스낵
15657,과자,스낵,밀가루스낵,밀가루스낵
15658,과자,스낵,쌀스낵,쌀스낵
15659,과자,스낵,쌀스낵,쌀스낵
15660,과자,스낵,쌀스낵,쌀스낵
15661,과자,캔디,젤리,젤리
15662,과자,캔디,젤리,젤리
15663,과자,캔디,젤리,젤리
15665,상온HMR,가공안주류,기타간식/안주형과자,기타간식/안주형과자
15666,과자,캔디,젤리,젤리
15667,상온HMR,레토르트,즉석국/찌개,즉석국/찌개
15673,주류,맥주,수입맥주,수입맥주
15674,주류,맥주,수입맥주,수입맥주
15675,주류,맥주,수입맥주,수입맥주
15676,주류,맥주,수입맥주,수입맥주
15677,주류,맥주,수입맥주,수입맥주
15693,과자,전통과자,기타전통과자,기타전통과자
15694,과자,전통과자,기타전통과자,기타전통과자
15697,과자,비스킷,스틱과자,스틱과자
15698,과자,비스킷,스틱과자,스틱과자
15699,과자,비스킷,쿠키,쿠키
15704,과자,비스킷,쿠키,쿠키
15705,과자,기타,기타,기타
15706,과자,비스킷,스틱과자,스틱과자
15707,과자,비스킷,쿠키,쿠키
15708,과자,파이류,파이,파이
15709,과자,비스킷,쿠키,쿠키
